,ap_lo
80,34847
90,14316
70,10245
100,4082
60,2727
1000,666
110,401
79,357
85,290
75,211
120,207
95,161
1100,156
89,122
69,100
65,78
50,56
130,35
82,33
84,32
140,31
83,30
87,29
78,27
86,26
74,26
73,22
92,22
72,22
0,21
99,21
81,21
1200,21
59,20
105,20
88,20
91,20
76,19
67,19
77,18
98,17
94,17
40,17
20,15
71,15
96,14
97,13
68,13
66,12
93,11
1110,11
64,10
160,9
115,8
150,8
1001,8
63,7
62,7
109,7
10,7
106,6
30,6
103,6
61,6
170,6
104,5
800,5
101,5
1120,5
57,4
58,4
55,4
1008,4
113,4
102,4
180,4
10000,3
809,3
8099,3
53,3
108,3
5700,2
9011,2
119,2
1900,2
45,2
708,2
112,2
1033,2
126,2
190,2
49,2
8000,2
850,2
1011,2
52,2
125,2
1003,2
8,2
900,2
7,2
709,2
1088,2
1400,2
801,2
902,2
710,2
1177,2
6,2
700,1
1140,1
-70,1
1022,1
122,1
820,1
1077,1
54,1
118,1
182,1
121,1
1,1
11000,1
1211,1
7099,1
56,1
15,1
1139,1
802,1
910,1
6800,1
1101,1
8079,1
1044,1
9800,1
8200,1
1111,1
585,1
9,1
602,1
9100,1
135,1
1125,1
114,1
870,1
8100,1
901,1
2088,1
810,1
1002,1
107,1
8077,1
111,1
1007,1
8044,1
8500,1
880,1
7100,1
